date,val
2023-01-02,58
2023-01-03,60
2023-01-04,54
2023-01-05,61
2023-01-06,66
2023-01-09,64
2023-01-10,67
2023-01-11,87
2023-01-12,59
2023-01-13,62
2023-01-16,60
2023-01-17,67
2023-01-18,65
2023-01-19,57
2023-01-20,60
2023-01-23,61
2023-01-24,66
2023-01-25,68
2023-01-26,64
2023-01-27,66
2023-01-30,59
2023-01-31,67
2023-02-01,65
2023-02-02,62
2023-02-03,67
2023-02-06,65
2023-02-07,66
2023-02-08,70
2023-02-09,65
2023-02-10,67
2023-02-13,96
2023-02-14,73
2023-02-15,66
2023-02-16,69
2023-02-17,72
2023-02-20,74
2023-02-21,75
2023-02-22,73
2023-02-23,59
2023-02-24,77
2023-02-27,66
2023-02-28,70
2023-03-01,73
2023-03-02,72
2023-03-03,67
2023-03-06,70
2023-03-07,63
2023-03-08,66
2023-03-09,79
2023-03-10,66
2023-03-13,103
2023-03-14,71
2023-03-15,82
2023-03-16,70
2023-03-17,72
2023-03-20,82
2023-03-21,65
2023-03-22,81
2023-03-23,72
2023-03-24,69
2023-03-27,64
2023-03-28,73
2023-03-29,76
2023-03-30,66
2023-03-31,73
2023-04-03,72
2023-04-04,78
2023-04-05,81
2023-04-06,77
2023-04-07,78
2023-04-11,65
2023-04-12,105
2023-04-13,77
2023-04-14,140
2023-04-17,102
2023-04-18,87
2023-04-19,89
2023-04-20,87
2023-04-21,90
2023-04-24,79
2023-04-25,92
2023-04-26,88
2023-04-27,83
2023-04-28,81
2023-05-02,77
2023-05-03,79
2023-05-04,79
2023-05-05,83
2023-05-09,73
2023-05-10,77
2023-05-11,123
2023-05-12,84
2023-05-15,92
2023-05-16,88
2023-05-17,94
2023-05-19,111
2023-05-22,93
2023-05-23,87
2023-05-24,91
2023-05-25,97
2023-05-26,99
2023-05-27,0
2023-05-30,87
2023-05-31,91
2023-06-01,87
2023-06-02,90
2023-06-05,88
2023-06-06,92
2023-06-07,94
2023-06-08,84
2023-06-09,93
2023-06-12,86
2023-06-13,146
2023-06-14,91
2023-06-15,90
2023-06-16,93
2023-06-19,84
2023-06-20,98
2023-06-21,94
2023-06-22,88
2023-06-23,87
2023-06-26,82
2023-06-27,93
2023-06-28,83
2023-06-29,75
2023-06-30,81
2023-07-03,56
2023-07-04,86
2023-07-05,90
2023-07-06,82
2023-07-07,85
2023-07-10,85
2023-07-11,94
2023-07-12,119
2023-07-13,143
2023-07-17,79
2023-07-18,107
2023-07-19,93
2023-07-20,104
2023-07-21,88
2023-07-24,92
2023-07-25,83
2023-07-26,87
2023-07-27,96
2023-07-28,68
2023-07-31,87
2023-08-01,87
2023-08-02,87
2023-08-03,83
2023-08-04,81
2023-08-07,96
2023-08-08,82
2023-08-09,94
2023-08-10,75
2023-08-11,140
2023-08-14,89
2023-08-16,76
2023-08-17,73
2023-08-18,70
2023-08-21,88
2023-08-22,78
2023-08-23,68
2023-08-24,73
2023-08-25,72
2023-08-28,77
2023-08-29,76
2023-08-30,78
2023-08-31,70
2023-09-01,74
2023-09-04,85
2023-09-05,84
2023-09-06,84
2023-09-07,76
2023-09-08,80
2023-09-11,80
2023-09-12,80
2023-09-13,134
2023-09-14,82
2023-09-15,77
2023-09-18,83
2023-09-19,85
2023-09-20,84
2023-09-21,81
2023-09-22,80
2023-09-25,85
2023-09-26,84
2023-09-27,79
2023-09-28,74
2023-09-29,82
2023-10-02,84
2023-10-03,90
2023-10-04,81
2023-10-05,87
2023-10-06,75
2023-10-09,71
2023-10-10,75
2023-10-11,77
2023-10-12,124
2023-10-13,75
2023-10-16,79
2023-10-17,79
2023-10-18,79
2023-10-19,74
2023-10-20,84
2023-10-23,94
2023-10-24,90
2023-10-25,81
2023-10-26,77
2023-10-27,97
2023-10-30,92
2023-10-31,84
2023-11-02,92
2023-11-03,106
2023-11-06,102
2023-11-07,104
2023-11-08,105
2023-11-09,82
2023-11-10,88
2023-11-13,149
2023-11-14,89
2023-11-15,98
2023-11-16,92
2023-11-17,94
2023-11-20,100
2023-11-21,92
2023-11-22,82
2023-11-23,88
2023-11-24,103
2023-11-27,94
2023-11-28,87
2023-11-29,90
2023-11-30,99
